user_id,num_friends,messages_sent,group_activities_participated
1,148,524,1
2,193,426,6
3,39,564,2
4,190,243,4
5,173,765,9
6,44,789,6
7,185,587,3
8,136,419,0
9,40,222,3
10,19,901,6
11,118,457,6
12,96,261,1
13,79,378,3
14,69,46,1
15,160,861,5
16,24,325,9
17,104,297,6
18,60,239,1
19,69,476,2
20,194,53,7
21,192,974,9
22,7,197,3
23,149,193,5
24,60,802,9
25,177,908,6
26,188,609,6
27,41,467,9
28,79,814,0
29,81,949,9
30,167,961,8
31,194,937,1
32,175,987,2
33,73,166,7
34,192,669,3
35,187,394,5
36,22,859,8
37,55,611,8
38,144,85,5
39,158,314,3
40,115,976,2
41,97,545,4
42,176,103,3
43,62,694,4
44,123,671,9
45,35,19,8
46,38,309,2
47,110,2,2
48,72,999,0
49,74,10,3
50,96,342,3
51,53,840,8
52,58,980,5
53,85,705,7
54,168,434,5
55,112,693,9
56,99,416,2
57,163,337,1
58,44,672,0
59,101,220,3
60,58,527,3
61,98,427,6
62,122,985,9
63,189,658,6
64,180,711,7
65,123,659,3
66,112,554,7
67,152,875,6
68,156,406,0
69,110,248,2
70,41,589,2
71,187,922,3
72,156,532,6
73,98,899,0
74,95,526,6
75,74,840,7
76,182,249,8
77,83,932,7
78,145,696,6
79,192,89,3
80,50,179,4
81,50,329,9
82,170,393,2
83,102,216,0
84,122,969,1
85,62,556,1
86,119,806,7
87,128,762,5
88,25,205,6
89,133,456,8
90,84,563,2
91,27,697,3
92,43,895,7
93,53,428,7
94,135,646,5
95,144,546,8
96,161,649,3
97,77,794,9
98,24,2,2
99,196,57,9
100,100,713,5
101,46,722,6
102,168,978,0
103,36,617,3
104,122,691,0
105,178,617,9
106,55,41,5
107,37,459,9
108,190,561,3
109,12,693,7
110,122,424,9
111,72,438,9
112,189,411,1
113,50,484,6
114,59,833,3
115,164,953,3
116,23,476,9
117,94,116,5
118,140,206,1
119,126,44,5
120,169,600,2
121,129,368,0
122,62,117,0
123,41,723,6
124,88,661,5
125,162,563,8
126,144,238,5
127,102,538,1
128,98,2,9
129,62,449,5
130,92,428,2
131,26,698,2
132,155,778,0
133,70,904,0
134,117,332,9
135,168,161,9
136,56,148,1
137,63,230,0
138,82,358,0
139,192,673,2
140,112,592,8
141,196,253,5
142,164,314,0
143,111,71,0
144,117,193,3
145,53,57,5
146,70,985,3
147,8,497,2
148,12,684,6
149,69,431,5
150,141,412,9
151,113,504,0
152,31,998,5
153,32,83,7
154,5,330,8
155,174,845,6
156,10,886,6
157,167,553,8
158,19,647,3
159,14,931,8
160,50,629,7
161,125,803,8
162,69,355,6
163,124,553,9
164,152,463,5
165,107,306,0
166,162,663,7
167,46,890,8
168,14,479,9
169,184,768,1
170,27,16,7
171,92,479,9
172,24,459,0
173,166,241,7
174,42,909,1
175,133,336,5
176,151,404,2
177,128,215,3
178,105,887,3
179,196,602,4
180,46,492,0
181,49,205,2
182,49,55,5
183,149,916,8
184,197,400,7
185,192,914,5
186,117,359,2
187,185,262,0
188,37,482,5
189,34,452,3
190,146,15,6
191,44,58,1
192,87,953,7
193,58,965,7
194,153,909,2
195,182,264,5
196,57,585,9
197,80,602,8
198,80,256,0
199,140,312,2
200,174,479,6
201,148,21,3
202,52,659,8
203,31,158,4
204,60,465,2
205,48,108,4
206,23,47,0
207,114,600,3
208,83,100,8
209,37,191,4
210,164,245,2
211,31,113,5
212,83,515,9
