user_id,num_posts,num_likes,num_comments,num_shares
1,5,894,368,74
2,4,65,397,243
3,4,952,245,242
4,5,207,424,144
5,5,277,133,182
6,3,624,143,187
7,5,138,226,173
8,4,675,33,61
9,6,308,295,243
10,7,331,474,143
11,2,167,483,234
12,5,546,139,53
13,5,42,384,160
14,6,812,284,198
15,4,888,208,116
16,6,680,81,122
17,6,831,432,29
18,1,270,247,6
19,7,299,399,141
20,2,41,354,188
21,11,698,136,54
22,4,596,442,89
23,3,515,363,161
24,8,326,294,93
25,3,284,421,254
26,3,936,490,156
27,5,261,5,164
28,8,934,345,235
29,3,720,80,67
30,2,995,343,250
31,5,254,73,0
32,3,193,479,199
33,8,80,314,116
34,10,604,2,56
35,3,410,402,48
36,2,902,226,22
37,5,138,154,212
38,7,729,280,220
39,6,755,212,148
40,6,881,193,185
41,2,500,339,264
42,4,102,406,198
43,9,543,379,81
44,7,369,62,78
45,11,854,441,216
46,8,50,224,175
47,3,237,305,211
48,2,39,391,36
49,3,902,375,114
50,4,768,434,4
51,5,920,100,239
52,5,222,247,6
53,4,517,297,297
54,3,987,477,259
55,8,606,318,236
56,2,380,414,98
57,1,995,104,115
58,4,271,58,124
59,5,398,209,109
60,4,405,94,202
61,3,145,89,268
62,4,433,343,286
63,8,839,50,297
64,2,905,440,69
65,2,228,388,138
66,2,742,202,148
67,7,560,51,153
68,6,453,471,14
69,7,362,192,104
70,6,250,139,283
71,7,393,101,156
72,6,294,406,238
73,4,569,119,109
74,2,710,307,189
75,3,681,363,55
76,4,300,472,257
77,7,738,446,81
78,4,27,75,192
79,3,600,130,59
80,2,603,151,283
81,6,72,217,43
82,3,772,78,289
83,5,312,350,166
84,9,79,490,259
85,6,28,425,234
86,6,746,404,155
87,9,310,251,294
88,4,662,212,192
89,9,56,374,172
90,2,657,340,50
91,10,409,118,111
92,6,494,495,44
93,9,132,152,286
94,4,903,11,134
95,1,999,303,193
96,6,146,100,296
97,8,228,209,116
98,6,923,73,67
99,2,707,197,265
100,3,595,184,98
101,5,561,284,258
102,3,853,156,80
103,3,331,220,297
104,5,448,173,71
105,6,775,237,29
106,5,443,8,220
107,3,441,251,249
108,5,410,31,242
109,3,212,495,23
110,3,108,140,292
111,6,501,365,274
112,5,544,180,260
113,6,101,330,215
114,2,480,97,51
115,4,685,309,135
116,7,420,379,237
117,6,748,499,3
118,5,888,371,235
119,4,452,412,199
120,3,638,178,72
121,3,910,459,40
122,7,733,176,246
123,7,706,350,30
124,6,411,424,94
125,6,702,469,59
126,7,93,217,295
127,8,483,490,24
128,6,770,267,196
129,3,819,290,63
130,7,43,368,176
131,5,315,485,189
132,5,57,259,51
133,7,606,44,30
134,4,141,304,183
135,9,389,457,116
136,4,786,243,72
137,5,445,126,146
138,2,4,145,123
139,6,758,301,181
140,3,432,111,99
141,6,434,466,177
142,2,122,441,165
143,3,793,270,9
144,5,625,313,162
145,3,951,150,45
146,4,758,406,279
147,5,875,340,97
148,6,17,409,114
149,3,484,236,206
150,3,684,161,90
151,4,510,380,126
152,5,739,296,236
153,4,222,460,26
154,2,721,312,25
155,6,243,280,171
156,6,8,437,144
157,8,345,43,153
158,1,897,480,221
159,6,121,219,81
160,2,479,140,219
161,5,297,53,231
162,2,364,26,143
163,6,325,7,257
164,4,851,483,190
165,3,839,170,64
166,5,108,375,154
167,6,835,197,245
168,3,856,76,136
169,4,542,339,166
170,8,121,182,162
171,4,274,191,160
172,10,70,4,0
173,4,174,58,177
174,5,292,236,243
175,10,861,154,179
176,3,474,496,289
177,4,720,498,237
178,7,735,18,116
179,5,18,64,6
180,10,728,323,173
181,4,92,321,115
182,2,408,235,254
183,3,52,153,78
184,5,991,288,23
185,8,484,235,90
186,4,586,236,38
187,3,643,421,194
188,8,557,390,203
189,6,414,220,168
190,8,547,243,156
191,3,131,4,199
192,3,641,136,272
193,5,678,396,270
194,11,242,237,3
195,7,736,423,148
196,4,811,47,70
197,3,90,45,45
198,8,345,63,211
199,8,914,191,134
200,3,888,28,109
201,3,363,17,197
202,6,808,157,99
203,2,121,201,51
204,7,358,18,2
205,5,864,175,108
206,5,805,264,158
207,6,969,212,62
208,1,704,0,151
209,10,113,232,175
210,2,418,247,99
211,5,522,217,290
212,4,186,461,24
213,5,77,38,183
214,4,581,220,246
215,5,810,54,20
216,6,486,247,142
217,1,615,490,225
218,3,856,307,130
219,2,726,454,9
220,5,629,319,177
221,4,4,23,206
